No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
54502;Papua;Kabupaten;Jayapura;Kemtuk Gresi;Damoi Kati;99357
54503;Papua;Kabupaten;Jayapura;Kemtuk Gresi;Demetin;99357
54504;Papua;Kabupaten;Jayapura;Kemtuk Gresi;Hatib;99357
54505;Papua;Kabupaten;Jayapura;Kemtuk Gresi;Ibub;99357
54506;Papua;Kabupaten;Jayapura;Kemtuk Gresi;Jagrang;99357
54507;Papua;Kabupaten;Jayapura;Kemtuk Gresi;Nembu Gresi;99357
54508;Papua;Kabupaten;Jayapura;Kemtuk Gresi;Omon;99357
54509;Papua;Kabupaten;Jayapura;Kemtuk Gresi;Pupehabu;99357
54510;Papua;Kabupaten;Jayapura;Kemtuk Gresi;Swentab;99357
54511;Papua;Kabupaten;Jayapura;Kemtuk Gresi;Yanbra (Yanim);99357
54512;Papua;Kabupaten;Jayapura;Nambluong;Besum;99361
54513;Papua;Kabupaten;Jayapura;Nambluong;Hanggaiy Hamong;99361
54514;Papua;Kabupaten;Jayapura;Nambluong;Imestum (Imustum);99361
54515;Papua;Kabupaten;Jayapura;Nambluong;Karya Bumi;99361
54516;Papua;Kabupaten;Jayapura;Nambluong;Sanggai;99361
54517;Papua;Kabupaten;Jayapura;Nambluong;Sarmai Atas;99361
54518;Papua;Kabupaten;Jayapura;Nambluong;Sarmai Bawah;99361
54519;Papua;Kabupaten;Jayapura;Nambluong;Sumbe;99361
54520;Papua;Kabupaten;Jayapura;Nambluong;Yakasib (Yakasip/Yokasib);99361
54521;Papua;Kabupaten;Jayapura;Nimbokrang;Benyom Jaya I;99362
54522;Papua;Kabupaten;Jayapura;Nimbokrang;Benyom Jaya II;99362
54523;Papua;Kabupaten;Jayapura;Nimbokrang;Berab;99362
54524;Papua;Kabupaten;Jayapura;Nimbokrang;Bunyom;99362
54525;Papua;Kabupaten;Jayapura;Nimbokrang;Hamongkrang;99362
54526;Papua;Kabupaten;Jayapura;Nimbokrang;Nembukrang (Nimbokrang);99362
54527;Papua;Kabupaten;Jayapura;Nimbokrang;Nembukrang Sari (Nimbokrang Sari);99362
54528;Papua;Kabupaten;Jayapura;Nimbokrang;Rhepang Muaif/Muaib;99362
54529;Papua;Kabupaten;Jayapura;Nimbokrang;Wahab;99362
54530;Papua;Kabupaten;Jayapura;Nimboran;Benyom;99361
54531;Papua;Kabupaten;Jayapura;Nimboran;Gemebs;99361
54532;Papua;Kabupaten;Jayapura;Nimboran;Imsar;99361
54533;Papua;Kabupaten;Jayapura;Nimboran;Kaitemung (Kautemung);99361
54534;Papua;Kabupaten;Jayapura;Nimboran;Kuipon (Kuipons);99361
54535;Papua;Kabupaten;Jayapura;Nimboran;Kuwase;99361
54536;Papua;Kabupaten;Jayapura;Nimboran;Meyu;99361
54537;Papua;Kabupaten;Jayapura;Nimboran;Oyengsi;99361
54538;Papua;Kabupaten;Jayapura;Nimboran;Pobaim;99361
54539;Papua;Kabupaten;Jayapura;Nimboran;Singgri;99361
54540;Papua;Kabupaten;Jayapura;Nimboran;Singgriway (Singgriwai);99361
54541;Papua;Kabupaten;Jayapura;Nimboran;Tabri;99361
54542;Papua;Kabupaten;Jayapura;Nimboran;Yenggu (Yenggu Lama);99361
54543;Papua;Kabupaten;Jayapura;Nimboran;Yenggu Baru;99361
54544;Papua;Kabupaten;Jayapura;Ravenirara;Nehibe (Nacha Tawa);99353
54545;Papua;Kabupaten;Jayapura;Ravenirara;Ormuwari (Newa);99353
54546;Papua;Kabupaten;Jayapura;Ravenirara;Yongsu Besar (Dosoyo);99353
54547;Papua;Kabupaten;Jayapura;Ravenirara;Yongsu Sapari;99353
54548;Papua;Kabupaten;Jayapura;Sentani;Dobonsolo;99352
54549;Papua;Kabupaten;Jayapura;Sentani;Hinekombe;99352
54550;Papua;Kabupaten;Jayapura;Sentani;Hobong;99352
54551;Papua;Kabupaten;Jayapura;Sentani;Ifale (Ilfele);99352
54552;Papua;Kabupaten;Jayapura;Sentani;Ifar Besar;99352
54553;Papua;Kabupaten;Jayapura;Sentani;Keheran (Kehiran);99352
54554;Papua;Kabupaten;Jayapura;Sentani;Sentani Kota;99352
54555;Papua;Kabupaten;Jayapura;Sentani;Sereh;99352
54556;Papua;Kabupaten;Jayapura;Sentani;Yobeh;99352
54557;Papua;Kabupaten;Jayapura;Sentani;Yoboy;99352
54558;Papua;Kabupaten;Jayapura;Sentani Barat;Dosay (Dosai);99358
54559;Papua;Kabupaten;Jayapura;Sentani Barat;Maribu;99358
54560;Papua;Kabupaten;Jayapura;Sentani Barat;Sabron Sari;99358
54561;Papua;Kabupaten;Jayapura;Sentani Barat;Sabron Yaru (Sabro Yaru);99358
54562;Papua;Kabupaten;Jayapura;Sentani Barat;Waibron;99358
54563;Papua;Kabupaten;Jayapura;Sentani Timur;Asei Besar;99359
54564;Papua;Kabupaten;Jayapura;Sentani Timur;Asei Kecil;99359
54565;Papua;Kabupaten;Jayapura;Sentani Timur;Ayapo (Itakiwa);99359
54566;Papua;Kabupaten;Jayapura;Sentani Timur;Nendali;99359
54567;Papua;Kabupaten;Jayapura;Sentani Timur;Nolokla;99359
54568;Papua;Kabupaten;Jayapura;Sentani Timur;Puay (Puai);99359
54569;Papua;Kabupaten;Jayapura;Sentani Timur;Yokiwa;99359
54570;Papua;Kabupaten;Jayapura;Unurum Guay;Beneik;99356
54571;Papua;Kabupaten;Jayapura;Unurum Guay;Garusa;99356
54572;Papua;Kabupaten;Jayapura;Unurum Guay;Guriyad (Guryard);99356
54573;Papua;Kabupaten;Jayapura;Unurum Guay;Nandalzi (Nandaizi);99356
54574;Papua;Kabupaten;Jayapura;Unurum Guay;Sawesuma (Sawa Suma);99356
54575;Papua;Kabupaten;Jayapura;Unurum Guay;Sentosa (Santosa);99356
54576;Papua;Kabupaten;Jayapura;Waibu;Bambar;99358
54577;Papua;Kabupaten;Jayapura;Waibu;Dondai (Donday);99358
54578;Papua;Kabupaten;Jayapura;Waibu;Doyo Baru;99358
54579;Papua;Kabupaten;Jayapura;Waibu;Doyo Lama;99358
54580;Papua;Kabupaten;Jayapura;Waibu;Kwadeware (Kanda);99358
54581;Papua;Kabupaten;Jayapura;Waibu;Sosiri;99358
54582;Papua;Kabupaten;Jayapura;Waibu;Yakonde;99358
54583;Papua;Kabupaten;Jayapura;Yapsi;Bumi Sahaja;99364
54584;Papua;Kabupaten;Jayapura;Yapsi;Bundru;99364
54585;Papua;Kabupaten;Jayapura;Yapsi;Kwarja (Kwaja);99364
54586;Papua;Kabupaten;Jayapura;Yapsi;Nawa Mukti;99364
54587;Papua;Kabupaten;Jayapura;Yapsi;Nawa Mulya;99364
54588;Papua;Kabupaten;Jayapura;Yapsi;Ongan Jaya;99364
54589;Papua;Kabupaten;Jayapura;Yapsi;Purnawajati (Purnama Jati);99364
54590;Papua;Kabupaten;Jayapura;Yapsi;Tabbeyan (Tabeyan);99364
54591;Papua;Kabupaten;Jayapura;Yapsi;Taqwa/Takwa Bangun;99364
54592;Papua;Kabupaten;Jayapura;Yokari;Buseryo;99354
54593;Papua;Kabupaten;Jayapura;Yokari;Endokisi;99354
54594;Papua;Kabupaten;Jayapura;Yokari;Maruway;99354
54595;Papua;Kabupaten;Jayapura;Yokari;Meukisi;99354
54596;Papua;Kabupaten;Jayapura;Yokari;Snamay;99354
54597;Papua;Kabupaten;Jayawijaya;Asologaima (Asalogaima);Araboda;99554
54598;Papua;Kabupaten;Jayawijaya;Asologaima (Asalogaima);Kimbim;99554
54599;Papua;Kabupaten;Jayawijaya;Asologaima (Asalogaima);Kombagwe;99554
54600;Papua;Kabupaten;Jayawijaya;Asologaima (Asalogaima);Logotpaga;99554
54601;Papua;Kabupaten;Jayawijaya;Asologaima (Asalogaima);Loki;99554
54602;Papua;Kabupaten;Jayawijaya;Asologaima (Asalogaima);Miligatnem;99554
54603;Papua;Kabupaten;Jayawijaya;Asologaima (Asalogaima);Tikawo;99554
54604;Papua;Kabupaten;Jayawijaya;Asologaima (Asalogaima);Walak;99554
54605;Papua;Kabupaten;Jayawijaya;Asologaima (Asalogaima);Wawanca;99554
54606;Papua;Kabupaten;Jayawijaya;Asolokobal;Asolokobal;99511
54607;Papua;Kabupaten;Jayawijaya;Asolokobal;Asotapo;99511
54608;Papua;Kabupaten;Jayawijaya;Asolokobal;Helaluwa;99511
54609;Papua;Kabupaten;Jayawijaya;Asolokobal;Hesatom;99511
54610;Papua;Kabupaten;Jayawijaya;Asolokobal;Mulinekama;99511
54611;Papua;Kabupaten;Jayawijaya;Asolokobal;Ninabua;99511
54612;Papua;Kabupaten;Jayawijaya;Asolokobal;Sinata;99511
54613;Papua;Kabupaten;Jayawijaya;Asolokobal;Wiaima;99511
54614;Papua;Kabupaten;Jayawijaya;Asolokobal;Yapema;99511
54615;Papua;Kabupaten;Jayawijaya;Asotipo;Air Garam;99511
54616;Papua;Kabupaten;Jayawijaya;Asotipo;Asotipo;99511
54617;Papua;Kabupaten;Jayawijaya;Asotipo;Heberima;99511
54618;Papua;Kabupaten;Jayawijaya;Asotipo;Hitigima;99511
54619;Papua;Kabupaten;Jayawijaya;Asotipo;Hukulimo;99511
